state,state_AB,year,state_year,treat,ban_policy,ban_year,total_suicide,gender,median_income,crime_rate,diversity,median_age,pol_aff,education_rate
New Jersey,NJ,2011,NJ2011,1,0,2013,7.800,0.485,78900,308.4,0.413,39.2,1,0.881
New Mexico,NM,2011,NM2011,1,0,2017,20.000,0.491,53130,567.5,0.599,36.6,1,0.832
New York,NY,2011,NY2011,1,0,2019,8.500,0.482,64090,398.1,0.421,38.1,0,0.85
North Carolina,NC,2011,NC2011,0,0,0,12.600,0.48,57210,349.8,0.349,37.7,0,0.847
Ohio,OH,2011,OH2011,0,0,0,12.700,0.487,56510,307.4,0.188,39.1,1,0.883
Oklahoma,OK,2011,OK2011,0,0,0,18.200,0.49,61330,454.8,0.316,36.3,1,0.863
Oregon,OR,2011,OR2011,1,0,2015,16.900,0.492,65210,247.6,0.22,38.7,0,0.894
Pennsylvania,PA,2011,PA2011,0,0,0,13.700,0.485,63170,355,0.205,40.3,1,0.886
Rhode Island,RI,2011,RI2011,1,0,2017,9.500,0.482,62060,247.5,0.239,38,1,0.848
South Carolina,SC,2011,SC2011,0,0,0,14.100,0.48,50730,571.9,0.358,37.1,1,0.842
South Dakota,SD,2011,SD2011,0,0,0,15.500,0.495,59770,254.1,0.154,38.3,1,0.906
Tennessee,TN,2011,TN2011,0,0,0,14.900,0.484,53510,608.2,0.244,33.7,1,0.842
Texas,TX,2011,TX2011,0,0,0,11.200,0.491,62080,408.5,0.553,29.6,1,0.811
Vermont,VT,2011,VT2011,1,0,2016,19.200,0.491,65640,135.2,0.056,37.6,1,0.918
Washington,WA,2011,WA2011,1,0,2018,14.900,0.494,71950,294.6,0.279,41.4,0,0.901
West Virginia,WV,2011,WV2011,0,0,0,16.500,0.491," 52,930.00 ",315.900,0.064,38.700,0,0.842
Wisconsin,WI,2011,WI2011,0,0,0,13.000,0.494," 65,890.00 ",236.900,0.167,36.800,0,0.904
Wyoming,WY,2011,WY2011,0,0,0,23.100,0.505," 68,990.00 ",219.300,0.142,37.500,1,0.920
Alabama,AL,2012,AL2012,0,0,0,15.000,0.48,53970,449.9,0.33,38.2,1,0.84
Alaska,AK,2012,AK2012,0,0,0,23.000,0.516,79030,603.2,0.368,33.8,1,0.92
Arizona,AZ,2012,AZ2012,0,0,0,17.600,0.492,58410,428.9,0.428,36.6,1,0.86
Arkansas,AR,2012,AR2012,0,0,0,16.400,0.488,48450,469.1,0.258,37.6,0,0.85
California,CA,2012,CA2012,1,0,2013,10.200,0.493,70800,423.1,0.608,35.5,0,0.82
Colorado,CO,2012,CO2012,1,0,2019,20.200,0.497,71090,308.9,0.303,36.2,0,0.91
Connecticut,CT,2012,CT2012,1,0,2017,10.200,0.485,79770,283,0.298,40.4,0,0.9
Delaware,DE,2012,DE2012,1,0,2018,13.600,0.483,60810,547.4,0.355,39.2,0,0.89
Florida,FL,2012,FL2012,0,0,0,15.500,0.485,57210,487.1,0.431,41.1,1,0.87
Georgia,GA,2012,GA2012,0,0,0,11.700,0.483,59750,378.9,0.447,35.7,1,0.85
Hawaii,HI,2012,HI2012,1,0,2018,13.600,0.494,69860,239.2,0.783,38.3,0,0.9
Idaho,ID,2012,ID2012,0,0,0,18.600,0.498,59500,207.9,0.164,35.2,1,0.9
Illinois,IL,2012,IL2012,1,0,2016,10.000,0.488,64240,414.8,0.37,37,0,0.88
Indiana,IN,2012,IN2012,0,0,0,14.400,0.49,57310,345.7,0.189,37.3,1,0.88
Iowa,IA,2012,IA2012,0,0,0,12.500,0.495,66360,263.9,0.119,38,1,0.92
Kansas,KS,2012,KS2012,0,0,0,17.400,0.494,62090,354.6,0.222,36,1,0.9
Kentucky,KY,2012,KY2012,0,0,0,16.500,0.487,51020,222.6,0.137,38.4,0,0.84
Louisiana,LA,2012,LA2012,0,0,0,12.300,0.482,48530,496.9,0.399,36,1,0.83
Maine,ME,2012,ME2012,1,0,2019,15.700,0.491,61040,122.7,0.058,43.5,1,0.92
Maryland,MD,2012,MD2012,1,0,2018,9.900,0.48,89200,476.8,0.461,38.1,0,0.89
Massachusetts,MA,2012,MA2012,1,0,2019,9.100,0.483,79040,405.5,0.246,39.5,0,0.9
Michigan,MI,2012,MI2012,0,0,0,12.700,0.489,62100,454.5,0.236,39.5,1,0.89
Mississippi,MS,2012,MS2012,0,0,0,13.700,0.477,45500,260.8,0.421,36.2,1,0.82
Missouri,MO,2012,MO2012,0,0,0,15.200,0.487,61790,450.9,0.191,38.2,0,0.88
Montana,MT,2012,MT2012,0,0,0,23.200,0.497,55980,272.2,0.128,40.2,0,0.93
